ID,question,a0,a1,a2,a3,a4,a5,a6,a7,ra0,ra1,ra2,ra3,ra4,ra5,ra6,ra7,img
1,Is there an illuminated warning light on your dashboard?,Yes,No,,,,,,,1.png,,,,,,,,
1.11,Which light is on?,Check Engine,Battery,Oil,Brakes,Airbag,Tire Pressure,Temperature Warning,,,,,,,,,,1.11.png
2,Does the car have trouble starting or doesn't start at all?,Yes,No,,,,,,,,,,,,,,,
3,Does the car make unusual noises or vibrations?,,,,,,,,,,,,,,,,,
4,Are there issues while driving?,,,,,,,,,,,,,,,,,
5,Are there issues related to temperature or cooling?,,,,,,,,,,,,,,,,,
6,Are there issues with brakes or tires?,,,,,,,,,,,,,,,,,
7,Are there any visible exterior issues or leaks?,,,,,,,,,,,,,,,,,
8,Are there any visible exterior issues or leaks?,,,,,,,,,,,,,,,,,
9,Is there any odd smell coming from the car?,,,,,,,,,,,,,,,,,
10,Do you notice any issues while shifting gears or with the transmission?,,,,,,,,,,,,,,,,,
11,Any concerns related to the vehicle's safety systems?,,,,,,,,,,,,,,,,,
12,Do you feel any unevenness or wobbling while driving?,,,,,,,,,,,,,,,,,
13,Do you experience any loss of power or decreased fuel efficiency?,,,,,,,,,,,,,,,,,
14,Are there any issues with the steering?,,,,,,,,,,,,,,,,,
15,Do you hear any squealing or screeching noises?,,,,,,,,,,,,,,,,,
16,Is there a problem with any of the vehicle's electrical systems?,,,,,,,,,,,,,,,,,
17,Do you notice any unusual odors inside the cabin?,,,,,,,,,,,,,,,,,
18,Are there any issues when changing gears?,,,,,,,,,,,,,,,,,
19,Do you notice any issues related to the braking system?,,,,,,,,,,,,,,,,,
20,Are there any problems with the vehicle's suspension?,,,,,,,,,,,,,,,,,
21,Are there any issues with the fuel system?,,,,,,,,,,,,,,,,,
22,Are there any concerns with the exhaust system?,,,,,,,,,,,,,,,,,
23,Are there any concerns with the exhaust system?,,,,,,,,,,,,,,,,,
24,Are there issues with the vehicle's windshield wipers or washers?,,,,,,,,,,,,,,,,,
25,Do you experience any problems with the interior controls or buttons?,,,,,,,,,,,,,,,,,
26,Are there any issues with the vehicle's interior lights?,,,,,,,,,,,,,,,,,
27,Do you experience any issues with the exterior door handles or locks?,,,,,,,,,,,,,,,,,
28,Is there an issue with the vehicle's horn?,,,,,,,,,,,,,,,,,
29,Is there a specifc area where you've noticed leaks?,Coolant,Oil,Other,No Leaks,,,,,,,,,,,,,
2.1,Is there a clicking sound when trying to start?,Yes,No,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,

